"","date","implied_hurst","implied_ac1"
"1",1996-01-04,0.546825906677989,0.0670677759250622
"2",1996-01-05,0.559289347558626,0.0856647673694206
"3",1996-01-08,0.561265732421529,0.0886434059250201
"4",1996-01-09,0.496566085820659,-0.00474910304215703
"5",1996-01-10,0.497986481938712,-0.00278743659857705
"6",1996-01-11,0.522609467875776,0.0318397539517752
"7",1996-01-12,0.532835594177703,0.0465717255374334
"8",1996-01-15,0.50900836742507,0.0125665527649825
"9",1996-01-16,0.529546912892186,0.0418111810763864
"10",1996-01-17,0.528853725286963,0.0408105209242515
"11",1996-01-18,0.532377035503548,0.045906634133636
"12",1996-01-19,0.558394024378909,0.0843180962761327
"13",1996-01-22,0.536945961831088,0.0525523021065306
"14",1996-01-23,0.535979552248395,0.0511431123291546
"15",1996-01-24,0.55843883176469,0.0843854521162468
"16",1996-01-25,0.542502863314102,0.0606919516664557
"17",1996-01-26,0.565263984749815,0.0946942428942514
"18",1996-01-29,0.560811631488658,0.0879583014468381
"19",1996-01-30,0.552737918074503,0.0758491733457558
"20",1996-01-31,0.550101767550113,0.0719246787680521
"21",1996-02-01,0.543169464086186,0.0616725953263366
"22",1996-02-02,0.519930464935088,0.0280147253018892
"23",1996-02-05,0.509268892285158,0.012932321545041
"24",1996-02-06,0.487507467349568,-0.0171692272977014
"25",1996-02-07,0.498783392095758,-0.00168515520615253
"26",1996-02-08,0.495517138600179,-0.00619529500806859
"27",1996-02-09,0.496827252355523,-0.00438870353981546
"28",1996-02-12,0.484346056065799,-0.0214672021453346
"29",1996-02-13,0.484183662733754,-0.0216874695080254
"30",1996-02-14,0.470911419942074,-0.0395230879657851
"31",1996-02-15,0.471947287406017,-0.0381428357809586
"32",1996-02-16,0.496443590307752,-0.0049180970635434
"33",1996-02-20,0.487095221174394,-0.0177307492572915
"34",1996-02-21,0.523143004489918,0.0326032249803971
"35",1996-02-22,0.512389192797261,0.0173234076262232
"36",1996-02-23,0.514277616102404,0.0199901584722331
"37",1996-02-26,0.49222995090613,-0.0107137695667404
"38",1996-02-27,0.494058539464306,-0.00820278527829021
"39",1996-02-28,0.494769001802727,-0.00722547314624211
"40",1996-02-29,0.484440230156519,-0.0213394434028186
"41",1996-03-01,0.489932277754374,-0.0138598816131241
"42",1996-03-04,0.497180123140703,-0.00390154849409852
"43",1996-03-05,0.506286911704243,0.00875360088322763
"44",1996-03-06,0.501419980039754,0.00197044911042421
"45",1996-03-07,0.498571583532843,-0.00197824637995037
"46",1996-03-08,0.446780562993747,-0.0711219374190607
"47",1996-03-11,0.461641232059416,-0.0517874032513492
"48",1996-03-12,0.465246657748115,-0.0470362009862362
"49",1996-03-13,0.473435895256213,-0.0361558510105077
"50",1996-03-14,0.497064692459203,-0.00406093231493876
"51",1996-03-15,0.505700733132614,0.00793420449062898
"52",1996-03-18,0.48281015765715,-0.0235484847975044
"53",1996-03-19,0.455405982561044,-0.0599483279052231
"54",1996-03-20,0.461025564089038,-0.0525963546239396
"55",1996-03-21,0.47613301264676,-0.0325452933293215
"56",1996-03-22,0.488216890643868,-0.0162021677379169
"57",1996-03-25,0.468283902689515,-0.0430152729560492
"58",1996-03-26,0.470974909145513,-0.0394385481344528
"59",1996-03-27,0.467333570132231,-0.0442752134209397
"60",1996-03-28,0.47265377671876,-0.0372003293348189
"61",1996-03-29,0.464036250873513,-0.0486339145552811
"62",1996-04-01,0.477217919422707,-0.031089146561409
"63",1996-04-02,0.505363649848825,0.00746331024008406
"64",1996-04-03,0.509361875156798,0.0130628985886274
"65",1996-04-04,0.510981948463514,0.0153406919113885
"66",1996-04-08,0.480985059062686,-0.0260159053474261
"67",1996-04-09,0.499036316930449,-0.00133505642341281
"68",1996-04-10,0.440098184999282,-0.0796870910629253
"69",1996-04-11,0.463317973216581,-0.0495807603928848
"70",1996-04-12,0.494982674565863,-0.00693135652267862
"71",1996-04-15,0.508657126890175,0.0120736310684815
"72",1996-04-16,0.508326571161623,0.0116099570610391
"73",1996-04-17,0.50007004540604,9.71082661187506e-05
"74",1996-04-18,0.510140778387851,0.0141573837221984
"75",1996-04-19,0.538626351689319,0.0550070965968974
"76",1996-04-22,0.533848427838779,0.0480422339376514
"77",1996-04-23,0.544575242372196,0.0637436241576319
"78",1996-04-24,0.53807435506748,0.0542000825379116
"79",1996-04-25,0.541476720689166,0.0591841521653529
"80",1996-04-26,0.545330571959146,0.0648580632045714
"81",1996-04-29,0.530219156441861,0.0427825260468533
"82",1996-04-30,0.521092427765161,0.0296720090080396
"83",1996-05-01,0.520438583309078,0.0287391156578094
"84",1996-05-02,0.493097798193458,-0.00952285116589136
"85",1996-05-03,0.514348534202917,0.0200904420643058
"86",1996-05-06,0.511781211859337,0.0164663274516681
"87",1996-05-07,0.503035080172358,0.00421637854520696
"88",1996-05-08,0.51999607099239,0.0281082267809254
"89",1996-05-09,0.50989001131497,0.0138048863871032
"90",1996-05-10,0.531844588799336,0.0451349061562103
"91",1996-05-13,0.532041137063409,0.0454197167834745
"92",1996-05-14,0.532665317437613,0.0463247075813011
"93",1996-05-15,0.52375644390636,0.0334817321063601
"94",1996-05-16,0.518811363572945,0.0264210957409179
"95",1996-05-17,0.530011696966012,0.0424826650171128
"96",1996-05-20,0.508930242661645,0.0124568937774272
"97",1996-05-21,0.503213804549051,0.00446521863574523
"98",1996-05-22,0.509541105411326,0.0133146414380221
"99",1996-05-23,0.502711869143946,0.00376652449436854
"100",1996-05-24,0.517252604931908,0.0242054988272082
"101",1996-05-28,0.484739801375217,-0.0209329272460766
